"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.722783333E-2,7.555225351E-1,-5.744515157E-1,-7.680294371E-1
2.720483334E-2,7.681709397E-1,-7.155559391E-1,-6.291440320E-1
3.718283333E-2,1.046077113E0,-5.996170548E-1,-8.140826923E-1
4.715983334E-2,7.582411981E-1,-4.969800013E-1,-7.846220809E-1
5.713783336E-2,2.059652478E-1,-3.917999938E-1,-7.295541734E-1
6.711583334E-2,-4.140018716E-1,-3.558404946E-1,-7.563490391E-1
7.709283335E-2,-7.663890007E-1,-4.928258470E-1,-8.056609476E-1
8.707083334E-2,-6.850599320E-1,-6.100481951E-1,-6.016439921E-1
9.704783335E-2,-4.675823937E-1,-6.530480343E-1,7.417660832E-2
1.070258333E-1,-3.499881627E-1,-7.593586010E-1,8.252643228E-1
1.170038334E-1,-1.156949092E-1,-7.695239854E-1,1.332046012E0
1.269808333E-1,3.421034847E-1,-6.283789238E-1,1.581732060E0
1.369588333E-1,6.962184660E-1,-4.113253087E-1,1.524686040E0
1.469368333E-1,8.791079696E-1,-2.953595272E-1,1.161282172E0
1.569138333E-1,8.942659990E-1,-2.876806712E-1,7.807044464E-1
1.668918333E-1,6.331378265E-1,-3.639713404E-1,4.993639112E-1
1.768688333E-1,1.818133235E-1,-4.684838882E-1,2.250213236E-1
1.868468334E-1,-3.437636554E-2,-5.254693902E-1,-2.436330110E-1
1.968248333E-1,8.501880795E-2,-4.717475116E-1,-8.016865951E-1
2.068018334E-1,3.489135175E-1,-2.418417165E-1,-1.107987140E0
2.167798333E-1,6.485426085E-1,1.699639410E-2,-1.016972305E0
2.267578334E-1,8.102659953E-1,1.373750693E-1,-4.297732741E-1
2.367348333E-1,1.093393367E0,8.934253156E-3,2.072426305E0
2.467128334E-1,1.258232369E0,-7.852696601E-1,5.951925836E0
2.566898333E-1,1.438100470E0,-2.004133457E0,6.657414039E0
2.666678333E-1,6.592148003E-1,-2.859405106E0,5.959213221E0
2.766458333E-1,8.043959755E-2,-2.698204972E0,4.238381163E0
2.866228333E-1,-4.083650096E-1,-1.812091307E0,2.425430900E0
2.966008333E-1,-3.992767554E-1,-8.844562715E-1,8.293427557E-1
3.065778333E-1,-1.628409360E-1,-3.475374484E-1,-6.416225749E-1
3.165558334E-1,7.473859884E-2,-3.906524777E-2,-1.885124785E0
3.265338333E-1,3.239394017E-1,2.681135488E-1,-2.371370468E0
3.365108334E-1,5.517640631E-1,5.715527585E-1,-2.173536358E0
3.464888333E-1,8.245230420E-1,7.975508595E-1,-1.594153301E0
3.564668334E-1,1.156441262E0,9.764028606E-1,-4.637707400E-1
3.664438333E-1,1.656898602E0,7.483308984E-1,1.200647382E0
3.764218334E-1,2.062789509E0,-1.639807776E-2,1.801518372E0
3.863988333E-1,2.072986614E0,-6.879958190E-1,1.200249771E0
3.963768333E-1,2.085873585E0,-7.007931814E-1,7.503556430E-2
4.063548333E-1,2.177745915E0,-4.127491057E-1,-1.082966319E0
4.163318333E-1,2.004300395E0,-1.014010982E-1,-1.784579573E0
4.263098333E-1,1.248140806E0,7.903520599E-2,-1.932752110E0
4.362878333E-1,1.467899635E-1,3.608550668E-2,-1.694840600E0
4.462648334E-1,-5.234124493E-1,-2.503318736E-1,-1.413975443E0
4.562428333E-1,-7.457666020E-1,-6.894783805E-1,-1.237391869E0
4.662198334E-1,-6.550567722E-1,-7.592692848E-1,-9.924707168E-1
4.761978333E-1,-4.417666077E-1,-3.466799542E-1,-5.672676265E-2
4.861758334E-1,-1.971705969E-1,1.264893079E-1,1.062896336E0
4.961528333E-1,1.941421412E-1,-2.490127417E-1,1.509783241E0
5.061308334E-1,1.491270664E0,-9.653365664E-1,2.474639897E0
5.161088333E-1,2.465232020E0,-1.889537678E0,2.663731250E0
