"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.052199841E-2,6.507761263E1,2.552644716E1,2.417285156E1,1.340000033E0,1.191796875E2,1.052562398E1,1.600000000E1
5.586600304E-2,6.507757575E1,2.552660358E1,2.417285156E1,NaN,NaN,1.659822134E1,1.600044617E1
5.376769304E-1,6.507758360E1,2.552663334E1,2.114402275E1,NaN,NaN,1.280506056E1,3.000000000E1
5.706009865E-1,6.507758360E1,2.552663334E1,2.114402275E1,NaN,NaN,1.280506782E1,3.000000000E1
1.142197013E0,6.507762822E1,2.552653855E1,3.035742188E1,3.000000119E-1,1.191796875E2,1.062412698E1,2.400000000E1
1.537147880E0,6.507764891E1,2.552649537E1,3.004309082E1,3.000000119E-1,1.191796875E2,9.320603983E0,2.400000000E1
2.535051942E0,6.507767828E1,2.552653032E1,3.267041016E1,3.000000119E-1,1.191796875E2,7.638011650E0,1.200000000E1
3.546252847E0,6.507766612E1,2.552656921E1,2.764312744E1,0.000000000E0,NaN,7.081673768E0,1.200000000E1
4.787603974E0,6.507769649E1,2.552652667E1,2.630566406E1,0.000000000E0,NaN,3.998019219E0,6.000000000E0
5.786058068E0,6.507770313E1,2.552652738E1,2.690728760E1,0.000000000E0,NaN,3.338950500E0,6.000000000E0
6.766141653E0,6.507769946E1,2.552652263E1,2.657666016E1,0.000000000E0,NaN,3.673568021E0,4.000000000E0
7.765875220E0,6.507769779E1,2.552651331E1,2.708190918E1,0.000000000E0,NaN,3.673587530E0,4.000000000E0
8.765599608E0,6.507770173E1,2.552651439E1,2.774401855E1,0.000000000E0,NaN,3.673585648E0,4.000000000E0
9.765332699E0,6.507770014E1,2.552650788E1,2.790930176E1,0.000000000E0,NaN,3.673588360E0,3.000000000E0
1.076508749E1,6.507770200E1,2.552650579E1,2.819519043E1,0.000000000E0,9.210937500E1,3.673586412E0,3.000000000E0
1.176485181E1,6.507770146E1,2.552650362E1,2.785174561E1,0.000000000E0,9.210937500E1,3.673257925E0,3.000000000E0
1.276463616E1,6.507769697E1,2.552650996E1,2.749157715E1,0.000000000E0,9.210937500E1,3.612321386E0,3.000000000E0
1.376444077E1,6.507770074E1,2.552650768E1,2.777108009E1,0.000000000E0,NaN,2.875259568E0,4.029364438E0
